average,close,dataid,deal,dealamount,dealnum,high,houseid,housetext,indate,indateStr,low,open,remark,subTypeId,subTypeLabel,subTypeName
0,87.5,946ededf1059418ca9029afbd529d367,87.5,0.0,0,87.5,aae0171545a30b490145a30b490a0000,北京,2021-06-04,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,87.5,97158228cabd4880a8efa69d42669bfd,87.5,0.0,0,87.5,aae0171545a30b490145a30b490a0000,北京,2021-06-03,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,87.5,91b5259c9d1c422faedb7b845cc5c2c7,87.5,0.0,0,87.5,aae0171545a30b490145a30b490a0000,北京,2021-06-02,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,87.5,c7893add7f9848dc9d708cf7e6b92227,87.5,0.0,0,87.5,aae0171545a30b490145a30b490a0000,北京,2021-06-01,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,87.5,b272d575f82b4187bbf8a4fb537cebe1,87.5,4550.0,52,87.5,aae0171545a30b490145a30b490a0000,北京,2021-05-31,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,77.3,14ee18c2cdf84ef0a1d67f33f0d24d3b,77.3,77300.0,1000,77.3,aae0171545a30b490145a30b490a0000,北京,2021-05-28,,77.3,77.3,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,64.35,802120a861c342519f901a349db9fb33,64.35,494512.0,7685,64.35,aae0171545a30b490145a30b490a0000,北京,2021-05-27,,64.35,64.35,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,79.0,84614624da054e2d85cd9e974888f144,79.0,0.0,0,79.0,aae0171545a30b490145a30b490a0000,北京,2021-05-26,,79.0,79.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,79.0,24899163882d4229974f85ad3f1557f1,79.0,0.0,0,79.0,aae0171545a30b490145a30b490a0000,北京,2021-05-25,,79.0,79.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,79.0,9ced045c93404faea95fbb3dc9585388,79.0,0.0,0,79.0,aae0171545a30b490145a30b490a0000,北京,2021-05-24,,79.0,79.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,79.0,74ec6f5ed457483c87c2d15cb9e7c0ee,79.0,7900.0,100,79.0,aae0171545a30b490145a30b490a0000,北京,2021-05-21,,79.0,79.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,81.49,b9c7f517e713480d992cd612cac8d87f,81.49,0.0,0,81.49,aae0171545a30b490145a30b490a0000,北京,2021-05-20,,81.49,81.49,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,81.49,55b5b3902c854fa691f1b061c8216c27,81.49,212700.0,2610,81.49,aae0171545a30b490145a30b490a0000,北京,2021-05-19,,81.49,81.49,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,87.5,e4416323034b41a1a5f48e5a498ded25,87.5,87500.0,1000,87.5,aae0171545a30b490145a30b490a0000,北京,2021-05-18,,87.5,87.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,84.85,80705801fb8046d7b0e75a138997aa65,84.85,933300.0,11000,84.85,aae0171545a30b490145a30b490a0000,北京,2021-05-17,,84.85,84.85,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,79.8,ed9ec9505cef4c7db586cd210d8901fc,79.8,470820.0,5900,79.8,aae0171545a30b490145a30b490a0000,北京,2021-05-14,,79.8,79.8,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,81.87,ce8e849bd1cf48fe87d13c18e4ce48a2,81.87,84344.0,1030,81.87,aae0171545a30b490145a30b490a0000,北京,2021-05-13,,81.87,81.87,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,82.0,f1182d76a87a4868b686959707625014,82.0,41000.0,500,82.0,aae0171545a30b490145a30b490a0000,北京,2021-05-12,,82.0,82.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,82.0,9bef1bfda295498baffff5fd9097ce58,82.0,41000.0,500,82.0,aae0171545a30b490145a30b490a0000,北京,2021-05-11,,82.0,82.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,80.0,5dd2c24fa09f4ed791fbb4293697cbe3,80.0,80.0,1,80.0,aae0171545a30b490145a30b490a0000,北京,2021-05-10,,80.0,80.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.8,f4d7a0de651a4b6382f8cd0cb24c8f60,67.8,81360.0,1200,67.8,aae0171545a30b490145a30b490a0000,北京,2021-05-07,,67.8,67.8,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,52.9,699cf89c818049588e307247ef6576cc,52.9,844914.0,14963,52.9,aae0171545a30b490145a30b490a0000,北京,2021-05-06,,52.9,52.9,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,52.89,7272ac5a0b14460a99333abe6aa35ee9,52.89,464932.0,8791,52.89,aae0171545a30b490145a30b490a0000,北京,2021-04-30,,52.89,52.89,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,47.6,7008878bb4fa4a989ff7071de3f318f0,47.6,571150.0,11999,47.6,aae0171545a30b490145a30b490a0000,北京,2021-04-29,,47.6,47.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,42.02,c1fcc2074f2841f99635ff4c39b07420,42.02,252730.0,6014,42.02,aae0171545a30b490145a30b490a0000,北京,2021-04-28,,42.02,42.02,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,43.77,f1242a7a82a34e70a976c3c0e90e97e4,43.77,52520.0,1200,43.77,aae0171545a30b490145a30b490a0000,北京,2021-04-27,,43.77,43.77,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,50.11,8e93dad2f7ed45e5b990608c97f41e4c,50.11,90252.0,1801,50.11,aae0171545a30b490145a30b490a0000,北京,2021-04-26,,50.11,50.11,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,47.0,4b73d9a325fc421ebf91987fbe0f2750,47.0,141047.0,3001,47.0,aae0171545a30b490145a30b490a0000,北京,2021-04-23,,47.0,47.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,39.52,cddcb9d39418472bb5a67ce9d403b175,39.52,6164.4,156,39.52,aae0171545a30b490145a30b490a0000,北京,2021-04-22,,39.52,39.52,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,35.3,0974e20fba9d45b3aed31c44f92b5388,35.3,0.0,0,35.3,aae0171545a30b490145a30b490a0000,北京,2021-04-21,,35.3,35.3,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,35.3,f529c833899c4460ac8a48f61f125a39,35.3,247100.0,7000,35.3,aae0171545a30b490145a30b490a0000,北京,2021-04-20,,35.3,35.3,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,32.4,9e7181fb84f644db8bacd425be4da779,32.4,3240.0,100,32.4,aae0171545a30b490145a30b490a0000,北京,2021-04-19,,32.4,32.4,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,27.0,36ad9ce17691432d9155fc329baa023f,27.0,1350.0,50,27.0,aae0171545a30b490145a30b490a0000,北京,2021-04-16,,27.0,27.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,24.0,f3415af1f2234e68b5a047557553447f,24.0,426720.0,17780,24.0,aae0171545a30b490145a30b490a0000,北京,2021-04-15,,24.0,24.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,13822da9c0f84c8b925e7d7620effb99,30.0,197010.0,6567,30.0,aae0171545a30b490145a30b490a0000,北京,2021-04-14,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,34.0,c9f99000450f42eaaf51296a7dfb64df,34.0,0.0,0,34.0,aae0171545a30b490145a30b490a0000,北京,2021-04-13,,34.0,34.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,34.0,b88ede7e8fbc499ca195c3f08df4d66e,34.0,0.0,0,34.0,aae0171545a30b490145a30b490a0000,北京,2021-04-12,,34.0,34.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,34.0,4a8eef4296db49f4ba5f8d7f687de1c4,34.0,0.0,0,34.0,aae0171545a30b490145a30b490a0000,北京,2021-04-09,,34.0,34.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,34.0,44aa5b0e340a4c55a1a4c532738c634c,34.0,0.0,0,34.0,aae0171545a30b490145a30b490a0000,北京,2021-04-08,,34.0,34.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,34.0,e2ced29420e54786a1650872afc1bef4,34.0,149022.0,4383,34.0,aae0171545a30b490145a30b490a0000,北京,2021-04-07,,34.0,34.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,28.41,484144320705429cafac3f4f619fc2fd,28.41,0.0,0,28.41,aae0171545a30b490145a30b490a0000,北京,2021-04-06,,28.41,28.41,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,28.41,39b9236e116c4698abe16a1aab02155e,28.41,0.0,0,28.41,aae0171545a30b490145a30b490a0000,北京,2021-04-02,,28.41,28.41,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,28.41,c868e94bfd274f75aa4b558dd4b13518,28.41,0.0,0,28.41,aae0171545a30b490145a30b490a0000,北京,2021-04-01,,28.41,28.41,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,28.41,baba64da73a74e81a2d50e20804a58bc,28.41,31250.0,1100,28.41,aae0171545a30b490145a30b490a0000,北京,2021-03-31,,28.41,28.41,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.63,c344176ddda049c2aa977c92907bbbb6,30.63,32160.0,1050,30.63,aae0171545a30b490145a30b490a0000,北京,2021-03-30,,30.63,30.63,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,2c0c6c78d6944611a4ac264de8b37b29,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-29,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,a6432278cfae492298c17cd48a029929,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-26,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,c15d97669637410b913f0ad257a8d0d9,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-25,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,85e8d849707b495eb79a3185c78967ea,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-24,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,cd519682574d40cc952fa27557617216,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-23,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,ad722d8a42b6444bb9dcf851ac6ac021,36.0,0.0,0,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-22,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,2dedfa3812b04271a41a4ed3629cff07,36.0,1800.0,50,36.0,aae0171545a30b490145a30b490a0000,北京,2021-03-19,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,31b82fb31d2a4a8eaf1481bda46e9c36,30.0,1500.0,50,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-18,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,3e8974893a514e2fb0d6131fa1af903d,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-17,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,b249f998ea0f4c44aeae3c8e3ab2ec9e,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-16,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,531cf9db5a834f849fd8dcf4915f158b,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-15,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,e21d59d3eaeb40d58446dcf1b25ef3a5,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-12,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,d1f385e4a3684de29493458d1eeaa3e0,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-11,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,22933a9991ab40e1a62fbc4b9a3eeafc,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-10,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,cd256ded3f994709ad3c90c5050d3e31,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-08,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,a57c8b7234db4df8a59d4bf57444c3e5,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-05,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,40bff0d4c1724f8195370c61c52902b0,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-04,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,3a58739fee0340ee9887897d4320e09b,30.0,6000.0,200,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-03,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,25.0,1321379586ea4f52902b675227c25019,25.0,57450.0,2298,25.0,aae0171545a30b490145a30b490a0000,北京,2021-03-02,,25.0,25.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,b60cc0b06f554770bc8343a324cdc05b,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-03-01,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,a5589e6a775f40e5b6fd340e1d26ce1f,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-26,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,6f251d56ae5845ee9b53ecae77cad9a9,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-25,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,3c4e303e474b4d48a9434c2e79ddcaba,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-24,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,8d7d255ff268462d9414b8efef9a0401,30.0,84000.0,2800,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-23,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,b222617038d143f69d910827b9ed42c7,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-22,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,3f07557509fb43feb8cff48e3372e814,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-19,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,4e1d165f405c455fa4139587b201c68b,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-18,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,9afa6098e2f04d53b49444396ea70da5,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-10,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,78f0c8a1ed2c464aadbd8ce665bb1014,30.0,0.0,0,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-09,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,30.0,e79f07399fe24135a3ad77bcd998a76f,30.0,90000.0,3000,30.0,aae0171545a30b490145a30b490a0000,北京,2021-02-08,,30.0,30.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,37.5,f0b9233bc5f14d2e98ed527f5a8b9146,37.5,187.5,5,37.5,aae0171545a30b490145a30b490a0000,北京,2021-02-05,,37.5,37.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,46.2,2925d1b269f448d097f0b6d74836af24,46.2,0.0,0,46.2,aae0171545a30b490145a30b490a0000,北京,2021-02-04,,46.2,46.2,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,46.2,2acb7bd0a2be41459d515eccc02a42ba,46.2,209933.0,4544,46.2,aae0171545a30b490145a30b490a0000,北京,2021-02-03,,46.2,46.2,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,38.5,381ec84fca6d4b4ea421ef583e6bc27c,38.5,79810.5,2073,38.5,aae0171545a30b490145a30b490a0000,北京,2021-02-02,,38.5,38.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,46.4,f6232a9f356d4ac68cb1b8e0b64b7e36,46.4,79112.0,1705,46.4,aae0171545a30b490145a30b490a0000,北京,2021-02-01,,46.4,46.4,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,48.75,24b65507b2074410a9912360c1e557d8,48.75,0.0,0,48.75,aae0171545a30b490145a30b490a0000,北京,2021-01-29,,48.75,48.75,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,48.75,6762a8587a3a4759b9e513283548739c,48.75,0.0,0,48.75,aae0171545a30b490145a30b490a0000,北京,2021-01-28,,48.75,48.75,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,48.75,ea8461523af44809982b6f241e61b79b,48.75,0.0,0,48.75,aae0171545a30b490145a30b490a0000,北京,2021-01-27,,48.75,48.75,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,48.75,d40a07ee86764cdd9ccab2567bdff680,48.75,195.0,4,48.75,aae0171545a30b490145a30b490a0000,北京,2021-01-26,,48.75,48.75,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,45.04,e7a25f11de1d441ea0890ebe459960aa,45.04,519315.0,11531,45.04,aae0171545a30b490145a30b490a0000,北京,2021-01-25,,45.04,45.04,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,36.0,ac55be4ee8b344a69e719cec645f5c54,36.0,468.0,13,36.0,aae0171545a30b490145a30b490a0000,北京,2021-01-22,,36.0,36.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,42.81,326f3567439e4a56b477422aa3bf2c02,42.81,0.0,0,42.81,aae0171545a30b490145a30b490a0000,北京,2021-01-21,,42.81,42.81,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,42.81,315814e2b4934d5f978acb232c871b3e,42.81,0.0,0,42.81,aae0171545a30b490145a30b490a0000,北京,2021-01-20,,42.81,42.81,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,42.81,27805f0fe67a49119ee5c572c04c8306,42.81,324722.0,7586,42.81,aae0171545a30b490145a30b490a0000,北京,2021-01-19,,42.81,42.81,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,40.93,9df5ce7c909b4ce48ac76c83bfa77074,40.93,512431.0,12520,40.93,aae0171545a30b490145a30b490a0000,北京,2021-01-18,,40.93,40.93,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,38.44,d3b92aca2da74d62b87533109e9e0e3d,38.44,398657.0,10370,38.44,aae0171545a30b490145a30b490a0000,北京,2021-01-15,,38.44,38.44,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,47.8,459ccef4c1884cc3944a31edad032d1d,47.8,0.0,0,47.8,aae0171545a30b490145a30b490a0000,北京,2021-01-14,,47.8,47.8,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,47.8,4abd3e1083b64178a8fcc8b9f2fc50eb,47.8,111756.0,2338,47.8,aae0171545a30b490145a30b490a0000,北京,2021-01-13,,47.8,47.8,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,59.7,39c17fc8148049608d359126e39967fa,59.7,1253.7,21,59.7,aae0171545a30b490145a30b490a0000,北京,2021-01-12,,59.7,59.7,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,74.6,12f847cebd0446f18f04b2a95d584eae,74.6,0.0,0,74.6,aae0171545a30b490145a30b490a0000,北京,2021-01-11,,74.6,74.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,74.6,ca0a4144adf742f78aee88aff1ab9ca5,74.6,0.0,0,74.6,aae0171545a30b490145a30b490a0000,北京,2021-01-08,,74.6,74.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
